"relative_path","size_bytes","last_write_time"
"source_data\supplementary_figures\Supplementary Figure 10\Supplementary Figure 10_logistic_grid_sensitivity_direct_plot_data.csv","205307","2026-05-24T10:11:06"
"source_data\supplementary_figures\Supplementary Figure 2\Supplementary Figure 2_a_a2_log.txt","3694","2026-01-17T15:54:04"
"source_data\supplementary_figures\Supplementary Figure 2\Supplementary Figure 2_b_b2_log.txt","3697","2026-01-17T15:54:20"
"source_data\supplementary_figures\Supplementary Figure 2\Supplementary Figure 2_c_c2_log .txt","3706","2026-01-19T11:39:14"
"source_data\supplementary_figures\Supplementary Figure 2\Supplementary Figure 2_d_d2_log.txt","3714","2026-01-19T11:39:30"
"source_data\supplementary_figures\Supplementary Figure 2\Supplementary Figure 2_e_e2_log.txt","3721","2026-01-19T10:39:22"
"source_data\supplementary_figures\Supplementary Figure 3\Supplementary Figure 3_a_a3_log.txt","3697","2026-01-22T10:21:10"
"source_data\supplementary_figures\Supplementary Figure 3\Supplementary Figure 3_b_b3_log.txt","3702","2026-01-22T10:20:56"
"source_data\supplementary_figures\Supplementary Figure 3\Supplementary Figure 3_c_c3_log.txt","3721","2026-05-04T10:03:23"
"source_data\supplementary_figures\Supplementary Figure 3\Supplementary Figure d_d_c3_log.txt","3726","2026-01-21T16:35:11"
"source_data\supplementary_figures\Supplementary Figure 4\Supplementary Figure 4_lmax_input.csv","988","2026-05-23T16:08:43"
"source_data\supplementary_figures\Supplementary Figure 4\Supplementary Figure 4_model_aicc_delta_source.csv","1321","2026-05-23T16:08:43"
"source_data\supplementary_figures\Supplementary Figure 4\Supplementary Figure 4_model_heatmaps_plot_data.csv","1045","2026-05-23T22:21:42"
"source_data\supplementary_figures\Supplementary Figure 5\figA_d_forest_plot_direct_plot_data.csv","1171","2026-05-24T09:56:58"
"source_data\supplementary_figures\Supplementary Figure 5\Supplementary Figure 5_logistic_baseline_params.csv","429","2026-05-18T10:16:39"
"source_data\supplementary_figures\Supplementary Figure 5\Supplementary Figure 5_logistic_leave_one_out_direct_plot_data.csv","171905","2026-05-23T22:30:58"
"source_data\supplementary_figures\Supplementary Figure 5\Supplementary Figure 5_logistic_loo_validation_complete.csv","1465","2026-05-18T10:21:23"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_a_MS and CAT-RMS for S1.csv","116380","2026-05-24T09:15:44"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_b_MS and CAT-RMS for S2.csv","152889","2026-05-24T09:18:29"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_c_MS and CAT-RMS for S4.csv","141820","2026-05-24T09:28:11"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_d_PWP and CAT-RMS for S1.csv","1588345","2026-05-24T09:31:31"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_e_PWP and CAT-RMS for S2.csv","1992330","2026-05-24T09:31:44"
"source_data\supplementary_figures\Supplementary Figure 6\Supplementary Figure 6_f_PWP and CAT-RMS for S4.csv","2037507","2026-05-24T09:31:55"
"source_data\supplementary_figures\Supplementary Figure 7\Supplementary Figure 7 Time-aligned hydromechanical response during the rainfall stage of the S2 experiment.csv","1435660","2026-05-24T09:50:50"
"source_data\supplementary_figures\Supplementary Figure 8\Supplementary Figure 8.csv","676","2026-05-24T10:02:41"
"source_data\supplementary_figures\Supplementary Figure 9\Supplementary Figure 9_heatmap.csv","1499","2026-05-24T10:06:09"
