PWP,H3,,MS,H3,,VWC,H3
02:41.0,0.03218,,2025-7-7 14:26,-42.81,,2025-7-7 14:26,0.234
02:42.0,0.0323,,2025-7-7 14:27,-42.59,,2025-7-7 14:27,0.234
02:43.0,0.03222,,2025-7-7 14:27,-42.59,,2025-7-7 14:27,0.234
02:44.0,0.03236,,2025-7-7 14:27,-42.59,,2025-7-7 14:27,0.235
02:45.0,0.03204,,2025-7-7 14:27,-42.4,,2025-7-7 14:27,0.235
02:46.0,0.03218,,2025-7-7 14:27,-42.91,,2025-7-7 14:27,0.234
02:47.0,0.03236,,2025-7-7 14:27,-42.81,,2025-7-7 14:27,0.234
02:48.0,0.03271,,2025-7-7 14:28,-43,,2025-7-7 14:28,0.235
02:49.0,0.03267,,2025-7-7 14:28,-42.69,,2025-7-7 14:28,0.235
02:50.0,0.03252,,2025-7-7 14:28,-42.69,,2025-7-7 14:28,0.235
02:51.0,0.03275,,2025-7-7 14:28,-42.59,,2025-7-7 14:28,0.235
02:52.0,0.03253,,2025-7-7 14:28,-42.69,,2025-7-7 14:28,0.234
02:53.0,0.03204,,2025-7-7 14:28,-42.81,,2025-7-7 14:28,0.235
02:54.0,0.03242,,2025-7-7 14:29,-42.81,,2025-7-7 14:29,0.235
02:55.0,0.03293,,2025-7-7 14:29,-42.81,,2025-7-7 14:29,0.235
02:56.0,0.03218,,2025-7-7 14:29,-42.81,,2025-7-7 14:29,0.235
02:57.0,0.03274,,2025-7-7 14:29,-42.5,,2025-7-7 14:29,0.235
02:58.0,0.0328,,2025-7-7 14:29,-42.81,,2025-7-7 14:29,0.235
02:59.0,0.03255,,2025-7-7 14:29,-42.69,,2025-7-7 14:29,0.235
03:00.0,0.03278,,2025-7-7 14:30,-42.59,,2025-7-7 14:30,0.235
03:01.0,0.03292,,2025-7-7 14:30,-42.81,,2025-7-7 14:30,0.235
03:02.0,0.0329,,2025-7-7 14:30,-42.69,,2025-7-7 14:30,0.235
03:03.0,0.03223,,2025-7-7 14:30,-42.59,,2025-7-7 14:30,0.235
03:04.0,0.03262,,2025-7-7 14:30,-42.69,,2025-7-7 14:30,0.235
03:05.0,0.03275,,2025-7-7 14:30,-42.69,,2025-7-7 14:30,0.235
03:06.0,0.03234,,2025-7-7 14:31,-42.69,,2025-7-7 14:31,0.235
03:07.0,0.03263,,2025-7-7 14:31,-42.81,,2025-7-7 14:31,0.235
03:08.0,0.03301,,2025-7-7 14:31,-42.81,,2025-7-7 14:31,0.235
03:09.0,0.03271,,2025-7-7 14:31,-42.69,,2025-7-7 14:31,0.235
03:10.0,0.03304,,2025-7-7 14:31,-42.59,,2025-7-7 14:31,0.235
03:11.0,0.03246,,2025-7-7 14:31,-42.69,,2025-7-7 14:31,0.234
03:12.0,0.03291,,2025-7-7 14:32,-42.69,,2025-7-7 14:32,0.235
03:13.0,0.03309,,2025-7-7 14:32,-42.69,,2025-7-7 14:32,0.235
03:14.0,0.03318,,2025-7-7 14:32,-42.81,,2025-7-7 14:32,0.235
03:15.0,0.03309,,2025-7-7 14:32,-42.81,,2025-7-7 14:32,0.235
03:16.0,0.03284,,2025-7-7 14:32,-42.81,,2025-7-7 14:32,0.235
03:17.0,0.03313,,2025-7-7 14:32,-42.69,,2025-7-7 14:32,0.235
03:18.0,0.03309,,2025-7-7 14:33,-42.69,,2025-7-7 14:33,0.235
03:19.0,0.03337,,2025-7-7 14:33,-42.81,,2025-7-7 14:33,0.235
03:20.0,0.03317,,2025-7-7 14:33,-42.69,,2025-7-7 14:33,0.235
03:21.0,0.03295,,2025-7-7 14:33,-42.59,,2025-7-7 14:33,0.235
03:22.0,0.03336,,2025-7-7 14:33,-42.59,,2025-7-7 14:33,0.235
03:23.0,0.03353,,2025-7-7 14:33,-42.59,,2025-7-7 14:33,0.235
03:24.0,0.03358,,2025-7-7 14:34,-42.59,,2025-7-7 14:34,0.235
03:25.0,0.03276,,2025-7-7 14:34,-42.81,,2025-7-7 14:34,0.235
03:26.0,0.03295,,2025-7-7 14:34,-42.81,,2025-7-7 14:34,0.235
03:27.0,0.03325,,2025-7-7 14:34,-42.59,,2025-7-7 14:34,0.234
03:28.0,0.03292,,2025-7-7 14:34,-42.59,,2025-7-7 14:34,0.235
03:29.0,0.03329,,2025-7-7 14:34,-42.91,,2025-7-7 14:34,0.235
03:30.0,0.03301,,2025-7-7 14:35,-42.81,,2025-7-7 14:35,0.235
03:31.0,0.03311,,2025-7-7 14:35,-42.5,,2025-7-7 14:35,0.236
03:32.0,0.03341,,2025-7-7 14:35,-42.59,,2025-7-7 14:35,0.236
03:33.0,0.03366,,2025-7-7 14:35,-42.81,,2025-7-7 14:35,0.235
03:34.0,0.03382,,2025-7-7 14:35,-42.91,,2025-7-7 14:35,0.235
03:35.0,0.03344,,2025-7-7 14:35,-42.69,,2025-7-7 14:35,0.235
03:36.0,0.03362,,2025-7-7 14:36,-42.81,,2025-7-7 14:36,0.235
03:37.0,0.03338,,2025-7-7 14:36,-42.69,,2025-7-7 14:36,0.235
03:38.0,0.03356,,2025-7-7 14:36,-42.59,,2025-7-7 14:36,0.235
03:39.0,0.03349,,2025-7-7 14:36,-42.59,,2025-7-7 14:36,0.236
03:40.0,0.03369,,2025-7-7 14:36,-42.69,,2025-7-7 14:36,0.235
03:41.0,0.0337,,2025-7-7 14:36,-42.5,,2025-7-7 14:36,0.235
03:42.0,0.03388,,2025-7-7 14:37,-42.81,,2025-7-7 14:37,0.235
03:43.0,0.034,,2025-7-7 14:37,-43,,2025-7-7 14:37,0.235
03:44.0,0.03399,,2025-7-7 14:37,-42.69,,2025-7-7 14:37,0.235
03:45.0,0.0341,,2025-7-7 14:37,-42.69,,2025-7-7 14:37,0.235
03:46.0,0.03398,,2025-7-7 14:37,-42.91,,2025-7-7 14:37,0.235
03:47.0,0.03425,,2025-7-7 14:37,-42.69,,2025-7-7 14:37,0.235
03:48.0,0.03419,,2025-7-7 14:38,-42.91,,2025-7-7 14:38,0.235
03:49.0,0.03398,,2025-7-7 14:38,-42.91,,2025-7-7 14:38,0.235
03:50.0,0.03382,,2025-7-7 14:38,-42.5,,2025-7-7 14:38,0.235
03:51.0,0.03411,,2025-7-7 14:38,-42.5,,2025-7-7 14:38,0.235
03:52.0,0.03474,,2025-7-7 14:38,-42.5,,2025-7-7 14:38,0.235
03:53.0,0.03377,,2025-7-7 14:38,-42.69,,2025-7-7 14:38,0.236
03:54.0,0.03399,,2025-7-7 14:39,-42.59,,2025-7-7 14:39,0.235
03:55.0,0.0339,,2025-7-7 14:39,-42.81,,2025-7-7 14:39,0.235
03:56.0,0.03479,,2025-7-7 14:39,-42.91,,2025-7-7 14:39,0.235
03:57.0,0.03404,,2025-7-7 14:39,-42.69,,2025-7-7 14:39,0.235
03:58.0,0.03423,,2025-7-7 14:39,-43,,2025-7-7 14:39,0.235
03:59.0,0.03429,,2025-7-7 14:39,-42.81,,2025-7-7 14:39,0.235
04:00.0,0.03462,,2025-7-7 14:40,-42.69,,2025-7-7 14:40,0.235
04:01.0,0.03404,,2025-7-7 14:40,-42.69,,2025-7-7 14:40,0.236
04:02.0,0.03448,,2025-7-7 14:40,-42.81,,2025-7-7 14:40,0.235
04:03.0,0.03426,,2025-7-7 14:40,-43,,2025-7-7 14:40,0.236
04:04.0,0.03416,,2025-7-7 14:40,-42.69,,2025-7-7 14:40,0.235
04:05.0,0.0343,,2025-7-7 14:40,-42.69,,2025-7-7 14:40,0.235
04:06.0,0.03414,,2025-7-7 14:41,-42.69,,2025-7-7 14:41,0.236
04:07.0,0.03471,,2025-7-7 14:41,-42.81,,2025-7-7 14:41,0.236
04:08.0,0.03441,,2025-7-7 14:41,-42.69,,2025-7-7 14:41,0.235
04:09.0,0.03489,,2025-7-7 14:41,-42.69,,2025-7-7 14:41,0.235
04:10.0,0.03498,,2025-7-7 14:41,-42.69,,2025-7-7 14:41,0.235
04:11.0,0.03503,,2025-7-7 14:41,-42.91,,2025-7-7 14:41,0.235
04:12.0,0.03446,,2025-7-7 14:42,-42.69,,2025-7-7 14:42,0.236
04:13.0,0.03432,,2025-7-7 14:42,-42.69,,2025-7-7 14:42,0.235
04:14.0,0.03493,,2025-7-7 14:42,-42.59,,2025-7-7 14:42,0.235
04:15.0,0.03478,,2025-7-7 14:42,-42.59,,2025-7-7 14:42,0.236
04:16.0,0.03481,,2025-7-7 14:42,-42.91,,2025-7-7 14:42,0.235
04:17.0,0.03501,,2025-7-7 14:42,-42.69,,2025-7-7 14:42,0.236
04:18.0,0.03474,,2025-7-7 14:43,-42.81,,2025-7-7 14:43,0.236
04:19.0,0.03498,,2025-7-7 14:43,-42.69,,2025-7-7 14:43,0.235
04:20.0,0.03457,,2025-7-7 14:43,-42.59,,2025-7-7 14:43,0.236
04:21.0,0.03426,,2025-7-7 14:43,-42.81,,2025-7-7 14:43,0.235
04:22.0,0.03444,,2025-7-7 14:43,-42.69,,2025-7-7 14:43,0.236
04:23.0,0.0346,,2025-7-7 14:43,-42.81,,2025-7-7 14:43,0.236
04:24.0,0.03454,,2025-7-7 14:44,-42.91,,2025-7-7 14:44,0.236
04:25.0,0.03435,,2025-7-7 14:44,-42.69,,2025-7-7 14:44,0.236
04:26.0,0.0348,,2025-7-7 14:44,-42.69,,2025-7-7 14:44,0.235
04:27.0,0.03475,,2025-7-7 14:44,-42.69,,2025-7-7 14:44,0.236
04:28.0,0.0344,,2025-7-7 14:44,-42.59,,2025-7-7 14:44,0.235
04:29.0,0.03501,,2025-7-7 14:44,-43,,2025-7-7 14:44,0.236
04:30.0,0.03437,,2025-7-7 14:45,-42.81,,2025-7-7 14:45,0.235
04:31.0,0.03464,,2025-7-7 14:45,-42.91,,2025-7-7 14:45,0.235
04:32.0,0.03501,,2025-7-7 14:45,-42.81,,2025-7-7 14:45,0.236
04:33.0,0.03506,,2025-7-7 14:45,-43,,2025-7-7 14:45,0.236
04:34.0,0.035,,2025-7-7 14:45,-42.91,,2025-7-7 14:45,0.236
04:35.0,0.0349,,2025-7-7 14:45,-42.81,,2025-7-7 14:45,0.236
04:36.0,0.03507,,2025-7-7 14:46,-42.59,,2025-7-7 14:46,0.236
04:37.0,0.03501,,2025-7-7 14:46,-42.69,,2025-7-7 14:46,0.236
04:38.0,0.03502,,2025-7-7 14:46,-42.59,,2025-7-7 14:46,0.236
04:39.0,0.03497,,2025-7-7 14:46,-42.81,,2025-7-7 14:46,0.235
04:40.0,0.03464,,2025-7-7 14:46,-42.69,,2025-7-7 14:46,0.236
04:41.0,0.03458,,2025-7-7 14:46,-42.5,,2025-7-7 14:46,0.236
04:42.0,0.03497,,2025-7-7 14:47,-42.69,,2025-7-7 14:47,0.235
04:43.0,0.03508,,2025-7-7 14:47,-42.69,,2025-7-7 14:47,0.236
04:44.0,0.0351,,2025-7-7 14:47,-42.69,,2025-7-7 14:47,0.236
04:45.0,0.03546,,2025-7-7 14:47,-42.69,,2025-7-7 14:47,0.236
04:46.0,0.03512,,2025-7-7 14:47,-42.81,,2025-7-7 14:47,0.237
04:47.0,0.03459,,2025-7-7 14:47,-42.69,,2025-7-7 14:47,0.236
04:48.0,0.03462,,2025-7-7 14:48,-42.81,,2025-7-7 14:48,0.236
04:49.0,0.03466,,2025-7-7 14:48,-43,,2025-7-7 14:48,0.236
04:50.0,0.0344,,2025-7-7 14:48,-42.81,,2025-7-7 14:48,0.235
04:51.0,0.03514,,2025-7-7 14:48,-42.5,,2025-7-7 14:48,0.236
04:52.0,0.03578,,2025-7-7 14:48,-42.91,,2025-7-7 14:48,0.236
04:53.0,0.03468,,2025-7-7 14:48,-42.69,,2025-7-7 14:48,0.235
04:54.0,0.03489,,2025-7-7 14:49,-42.5,,2025-7-7 14:49,0.236
04:55.0,0.03549,,2025-7-7 14:49,-42.81,,2025-7-7 14:49,0.236
04:56.0,0.03476,,2025-7-7 14:49,-43,,2025-7-7 14:49,0.236
04:57.0,0.03479,,2025-7-7 14:49,-42.59,,2025-7-7 14:49,0.235
04:58.0,0.03519,,2025-7-7 14:49,-42.69,,2025-7-7 14:49,0.236
04:59.0,0.03539,,2025-7-7 14:49,-42.81,,2025-7-7 14:49,0.236
05:00.0,0.0349,,2025-7-7 14:50,-42.69,,2025-7-7 14:50,0.236
05:01.0,0.03539,,2025-7-7 14:50,-42.69,,2025-7-7 14:50,0.237
05:02.0,0.0354,,2025-7-7 14:50,-42.69,,2025-7-7 14:50,0.236
05:03.0,0.03502,,2025-7-7 14:50,-42.81,,2025-7-7 14:50,0.236
05:04.0,0.03524,,2025-7-7 14:50,-42.69,,2025-7-7 14:50,0.236
05:05.0,0.03502,,2025-7-7 14:50,-42.81,,2025-7-7 14:50,0.236
05:06.0,0.03517,,2025-7-7 14:51,-42.69,,2025-7-7 14:51,0.236
05:07.0,0.03507,,2025-7-7 14:51,-42.69,,2025-7-7 14:51,0.237
05:08.0,0.03565,,2025-7-7 14:51,-42.81,,2025-7-7 14:51,0.236
05:09.0,0.03523,,2025-7-7 14:51,-42.69,,2025-7-7 14:51,0.236
05:10.0,0.03512,,2025-7-7 14:51,-42.69,,2025-7-7 14:51,0.236
05:11.0,0.03522,,2025-7-7 14:51,-42.81,,2025-7-7 14:51,0.237
05:12.0,0.0351,,2025-7-7 14:52,-42.81,,2025-7-7 14:52,0.236
05:13.0,0.0353,,2025-7-7 14:52,-42.81,,2025-7-7 14:52,0.237
05:14.0,0.03568,,2025-7-7 14:52,-42.59,,2025-7-7 14:52,0.236
05:15.0,0.03569,,2025-7-7 14:52,-42.69,,2025-7-7 14:52,0.236
05:16.0,0.036,,2025-7-7 14:52,-42.69,,2025-7-7 14:52,0.236
