VWC,H4,MS,PWP,H4
2025-7-7 14:15,0.215,-36.8,01:30.0,7.7E-4
2025-7-7 14:15,0.214,-36.9,01:31.0,8.1E-4
2025-7-7 14:15,0.215,-36.8,01:32.0,0.0013
2025-7-7 14:15,0.215,-36.9,01:33.0,0.00126
2025-7-7 14:15,0.214,-36.8,01:34.0,0.00174
2025-7-7 14:15,0.216,-36.9,01:35.0,0.00131
2025-7-7 14:16,0.215,-36.8,01:36.0,0.00155
2025-7-7 14:16,0.215,-36.9,01:37.0,0.00164
2025-7-7 14:16,0.215,-36.9,01:38.0,0.00156
2025-7-7 14:16,0.215,-36.9,01:39.0,0.00156
2025-7-7 14:16,0.214,-36.8,01:40.0,0.00191
2025-7-7 14:16,0.214,-36.9,01:41.0,0.00191
2025-7-7 14:17,0.214,-36.9,01:42.0,0.00202
2025-7-7 14:17,0.214,-36.9,01:43.0,0.00164
2025-7-7 14:17,0.214,-36.8,01:44.0,0.00194
2025-7-7 14:17,0.214,-36.9,01:45.0,0.00253
2025-7-7 14:17,0.215,-36.9,01:46.0,0.00202
2025-7-7 14:17,0.215,-36.9,01:47.0,0.00191
2025-7-7 14:18,0.214,-36.9,01:48.0,0.00205
2025-7-7 14:18,0.214,-36.9,01:49.0,0.00229
2025-7-7 14:18,0.214,-36.8,01:50.0,0.00208
2025-7-7 14:18,0.214,-36.9,01:51.0,0.00193
2025-7-7 14:18,0.214,-36.9,01:52.0,0.00237
2025-7-7 14:18,0.214,-36.8,01:53.0,0.00199
2025-7-7 14:19,0.214,-36.8,01:54.0,0.00197
2025-7-7 14:19,0.214,-36.8,01:55.0,0.00196
2025-7-7 14:19,0.214,-36.9,01:56.0,0.00204
2025-7-7 14:19,0.214,-36.9,01:57.0,0.00168
2025-7-7 14:19,0.214,-36.9,01:58.0,0.0016
2025-7-7 14:19,0.214,-36.8,01:59.0,0.00185
2025-7-7 14:20,0.214,-36.9,02:00.0,0.00217
2025-7-7 14:20,0.214,-36.8,02:01.0,0.00211
2025-7-7 14:20,0.214,-36.8,02:02.0,0.00176
2025-7-7 14:20,0.214,-36.8,02:03.0,0.00189
2025-7-7 14:20,0.214,-36.9,02:04.0,0.00215
2025-7-7 14:20,0.214,-36.8,02:05.0,0.00241
2025-7-7 14:21,0.214,-36.9,02:06.0,0.00202
2025-7-7 14:21,0.214,-36.8,02:07.0,0.0024
2025-7-7 14:21,0.214,-36.9,02:08.0,0.00266
2025-7-7 14:21,0.214,-36.8,02:09.0,0.00265
2025-7-7 14:21,0.214,-36.9,02:10.0,0.00211
2025-7-7 14:21,0.214,-36.8,02:11.0,0.00215
2025-7-7 14:22,0.214,-36.9,02:12.0,0.00247
2025-7-7 14:22,0.214,-36.9,02:13.0,0.00283
2025-7-7 14:22,0.214,-36.9,02:14.0,0.00211
2025-7-7 14:22,0.214,-36.9,02:15.0,0.00205
2025-7-7 14:22,0.214,-36.8,02:16.0,0.00222
2025-7-7 14:22,0.214,-36.8,02:17.0,0.00217
2025-7-7 14:23,0.214,-36.9,02:18.0,0.00211
2025-7-7 14:23,0.214,-36.9,02:19.0,0.00192
2025-7-7 14:23,0.214,-36.9,02:20.0,0.00256
2025-7-7 14:23,0.214,-36.9,02:21.0,0.00229
2025-7-7 14:23,0.214,-36.9,02:22.0,0.00248
2025-7-7 14:23,0.214,-36.8,02:23.0,0.00247
2025-7-7 14:24,0.214,-36.8,02:24.0,0.00223
2025-7-7 14:24,0.214,-36.8,02:25.0,0.00198
2025-7-7 14:24,0.214,-36.8,02:26.0,0.00132
2025-7-7 14:24,0.214,-36.8,02:27.0,0.00132
2025-7-7 14:24,0.214,-36.8,02:28.0,0.00137
2025-7-7 14:24,0.214,-36.9,02:29.0,0.00185
2025-7-7 14:25,0.214,-36.9,02:30.0,0.00182
2025-7-7 14:25,0.214,-36.8,02:31.0,0.00153
2025-7-7 14:25,0.214,-36.9,02:32.0,0.00151
2025-7-7 14:25,0.214,-36.8,02:33.0,0.00173
2025-7-7 14:25,0.214,-36.8,02:34.0,0.00207
2025-7-7 14:25,0.214,-36.9,02:35.0,0.00243
2025-7-7 14:26,0.214,-36.8,02:36.0,0.00169
2025-7-7 14:26,0.214,-36.8,02:37.0,0.00193
2025-7-7 14:26,0.214,-36.9,02:38.0,0.00207
2025-7-7 14:26,0.214,-36.8,02:39.0,0.00216
2025-7-7 14:26,0.214,-36.8,02:40.0,0.0019
2025-7-7 14:26,0.214,-36.8,02:41.0,0.00187
2025-7-7 14:27,0.214,-36.7,02:42.0,0.00253
2025-7-7 14:27,0.214,-36.8,02:43.0,0.0023
2025-7-7 14:27,0.214,-36.8,02:44.0,0.00237
2025-7-7 14:27,0.214,-36.9,02:45.0,0.00213
2025-7-7 14:27,0.214,-36.8,02:46.0,0.00208
2025-7-7 14:27,0.214,-36.8,02:47.0,0.00182
2025-7-7 14:28,0.214,-36.8,02:48.0,0.00142
2025-7-7 14:28,0.214,-36.9,02:49.0,0.00146
2025-7-7 14:28,0.214,-36.8,02:50.0,0.0016
2025-7-7 14:28,0.214,-36.8,02:51.0,0.0016
2025-7-7 14:28,0.214,-36.9,02:52.0,0.00177
2025-7-7 14:28,0.214,-36.8,02:53.0,0.00152
2025-7-7 14:29,0.214,-36.8,02:54.0,0.00132
2025-7-7 14:29,0.214,-36.8,02:55.0,0.00139
2025-7-7 14:29,0.214,-36.8,02:56.0,0.00213
2025-7-7 14:29,0.214,-36.8,02:57.0,0.00151
2025-7-7 14:29,0.214,-36.8,02:58.0,0.0014
2025-7-7 14:29,0.214,-36.8,02:59.0,0.00224
2025-7-7 14:30,0.214,-36.8,03:00.0,0.00239
2025-7-7 14:30,0.214,-36.9,03:01.0,0.00214
2025-7-7 14:30,0.214,-36.8,03:02.0,0.00177
2025-7-7 14:30,0.214,-36.8,03:03.0,0.0023
2025-7-7 14:30,0.214,-36.9,03:04.0,0.00218
2025-7-7 14:30,0.214,-36.8,03:05.0,0.00175
2025-7-7 14:31,0.214,-36.8,03:06.0,0.00223
2025-7-7 14:31,0.214,-36.8,03:07.0,0.00257
2025-7-7 14:31,0.214,-36.9,03:08.0,0.00275
2025-7-7 14:31,0.214,-36.9,03:09.0,0.00268
2025-7-7 14:31,0.214,-36.8,03:10.0,0.0027
2025-7-7 14:31,0.214,-36.7,03:11.0,0.00283
2025-7-7 14:32,0.214,-36.9,03:12.0,0.00233
2025-7-7 14:32,0.214,-36.8,03:13.0,0.00252
2025-7-7 14:32,0.214,-36.8,03:14.0,0.00282
2025-7-7 14:32,0.214,-36.8,03:15.0,0.00305
2025-7-7 14:32,0.214,-36.8,03:16.0,0.00286
2025-7-7 14:32,0.214,-36.9,03:17.0,0.00319
2025-7-7 14:33,0.214,-36.8,03:18.0,0.00308
2025-7-7 14:33,0.214,-36.8,03:19.0,0.00264
2025-7-7 14:33,0.214,-36.8,03:20.0,0.00279
2025-7-7 14:33,0.214,-36.9,03:21.0,0.00273
2025-7-7 14:33,0.214,-36.9,03:22.0,0.00316
2025-7-7 14:33,0.214,-36.8,03:23.0,0.00278
2025-7-7 14:34,0.214,-36.9,03:24.0,0.00316
2025-7-7 14:34,0.214,-36.8,03:25.0,0.00258
2025-7-7 14:34,0.214,-36.9,03:26.0,0.00278
2025-7-7 14:34,0.214,-36.7,03:27.0,0.00268
2025-7-7 14:34,0.214,-36.9,03:28.0,0.00285
2025-7-7 14:34,0.214,-36.8,03:29.0,0.00239
2025-7-7 14:35,0.214,-36.8,03:30.0,0.00265
2025-7-7 14:35,0.214,-36.9,03:31.0,0.00314
2025-7-7 14:35,0.214,-36.8,03:32.0,0.00274
2025-7-7 14:35,0.214,-36.8,03:33.0,0.00297
2025-7-7 14:35,0.214,-36.7,03:34.0,0.00313
2025-7-7 14:35,0.214,-36.9,03:35.0,0.00284
2025-7-7 14:36,0.214,-36.9,03:36.0,0.00285
2025-7-7 14:36,0.214,-36.8,03:37.0,0.00302
2025-7-7 14:36,0.214,-36.8,03:38.0,0.00252
2025-7-7 14:36,0.214,-36.8,03:39.0,0.00293
2025-7-7 14:36,0.214,-36.8,03:40.0,0.00302
2025-7-7 14:36,0.214,-36.8,03:41.0,0.00294
2025-7-7 14:37,0.214,-36.7,03:42.0,0.00295
2025-7-7 14:37,0.214,-36.8,03:43.0,0.0028
2025-7-7 14:37,0.214,-36.8,03:44.0,0.0028
2025-7-7 14:37,0.214,-36.8,03:45.0,0.00307
2025-7-7 14:37,0.214,-36.8,03:46.0,0.00288
2025-7-7 14:37,0.214,-36.9,03:47.0,0.00299
2025-7-7 14:38,0.214,-36.8,03:48.0,0.00318
2025-7-7 14:38,0.214,-36.9,03:49.0,0.00284
2025-7-7 14:38,0.214,-36.8,03:50.0,0.00268
2025-7-7 14:38,0.214,-36.8,03:51.0,0.00279
2025-7-7 14:38,0.214,-36.8,03:52.0,0.00212
2025-7-7 14:38,0.214,-36.9,03:53.0,0.00278
2025-7-7 14:39,0.214,-36.8,03:54.0,0.00268
2025-7-7 14:39,0.214,-36.7,03:55.0,0.00268
2025-7-7 14:39,0.214,-36.8,03:56.0,0.00212
2025-7-7 14:39,0.214,-36.8,03:57.0,0.00243
2025-7-7 14:39,0.214,-36.7,03:58.0,0.00251
2025-7-7 14:39,0.214,-36.9,03:59.0,0.00253
2025-7-7 14:40,0.214,-36.8,04:00.0,0.00275
2025-7-7 14:40,0.214,-36.8,04:01.0,0.0029
2025-7-7 14:40,0.214,-36.7,04:02.0,0.00274
2025-7-7 14:40,0.214,-36.8,04:03.0,0.00261
2025-7-7 14:40,0.214,-36.7,04:04.0,0.00245
2025-7-7 14:40,0.214,-36.8,04:05.0,0.00272
2025-7-7 14:41,0.214,-36.8,04:06.0,0.0028
2025-7-7 14:41,0.214,-36.8,04:07.0,0.0029
2025-7-7 14:41,0.214,-36.7,04:08.0,0.00348
2025-7-7 14:41,0.214,-36.8,04:09.0,0.00359
2025-7-7 14:41,0.214,-36.8,04:10.0,0.00304
2025-7-7 14:41,0.214,-36.9,04:11.0,0.00362
2025-7-7 14:42,0.214,-36.8,04:12.0,0.00288
2025-7-7 14:42,0.214,-36.8,04:13.0,0.00323
2025-7-7 14:42,0.214,-36.8,04:14.0,0.00356
2025-7-7 14:42,0.214,-36.8,04:15.0,0.00332
2025-7-7 14:42,0.214,-36.7,04:16.0,0.00363
2025-7-7 14:42,0.214,-36.8,04:17.0,0.0035
2025-7-7 14:43,0.214,-36.7,04:18.0,0.00397
2025-7-7 14:43,0.214,-36.8,04:19.0,0.00369
2025-7-7 14:43,0.214,-36.8,04:20.0,0.00411
2025-7-7 14:43,0.214,-36.9,04:21.0,0.00415
2025-7-7 14:43,0.214,-36.7,04:22.0,0.00385
2025-7-7 14:43,0.214,-36.8,04:23.0,0.00366
2025-7-7 14:44,0.214,-36.8,04:24.0,0.00358
2025-7-7 14:44,0.214,-36.8,04:25.0,0.00366
2025-7-7 14:44,0.214,-36.7,04:26.0,0.00334
2025-7-7 14:44,0.214,-36.9,04:27.0,0.00356
2025-7-7 14:44,0.214,-36.8,04:28.0,0.0036
2025-7-7 14:44,0.214,-36.8,04:29.0,0.00372
2025-7-7 14:45,0.214,-36.8,04:30.0,0.00315
2025-7-7 14:45,0.214,-36.8,04:31.0,0.00281
2025-7-7 14:45,0.214,-36.8,04:32.0,0.00326
2025-7-7 14:45,0.214,-36.9,04:33.0,0.0031
2025-7-7 14:45,0.214,-36.8,04:34.0,0.00338
2025-7-7 14:45,0.214,-36.8,04:35.0,0.00319
2025-7-7 14:46,0.214,-36.8,04:36.0,0.00317
2025-7-7 14:46,0.214,-36.9,04:37.0,0.00344
2025-7-7 14:46,0.214,-36.8,04:38.0,0.00334
2025-7-7 14:46,0.214,-36.8,04:39.0,0.00315
2025-7-7 14:46,0.214,-36.9,04:40.0,0.00323
2025-7-7 14:46,0.214,-36.8,04:41.0,0.00299
2025-7-7 14:47,0.214,-37,04:42.0,0.00253
2025-7-7 14:47,0.214,-36.9,04:43.0,0.00284
2025-7-7 14:47,0.214,-36.8,04:44.0,0.00256
2025-7-7 14:47,0.214,-36.7,04:45.0,0.00226
2025-7-7 14:47,0.214,-36.8,04:46.0,0.00223
2025-7-7 14:47,0.214,-36.8,04:47.0,0.00224
2025-7-7 14:48,0.214,-36.8,04:48.0,0.00234
2025-7-7 14:48,0.214,-36.7,04:49.0,0.00212
2025-7-7 14:48,0.214,-36.8,04:50.0,0.0023
2025-7-7 14:48,0.214,-36.7,04:51.0,0.00194
2025-7-7 14:48,0.214,-36.8,04:52.0,0.00118
2025-7-7 14:48,0.214,-36.8,04:53.0,0.0025
2025-7-7 14:49,0.214,-36.8,04:54.0,0.00225
2025-7-7 14:49,0.214,-36.7,04:55.0,0.00209
2025-7-7 14:49,0.214,-36.8,04:56.0,0.00229
2025-7-7 14:49,0.214,-36.8,04:57.0,0.00207
2025-7-7 14:49,0.214,-36.9,04:58.0,0.0024
2025-7-7 14:49,0.214,-36.8,04:59.0,0.00193
2025-7-7 14:50,0.214,-36.7,05:00.0,0.00237
2025-7-7 14:50,0.214,-36.8,05:01.0,0.00259
2025-7-7 14:50,0.214,-36.8,05:02.0,0.0025
2025-7-7 14:50,0.214,-36.8,05:03.0,0.0024
2025-7-7 14:50,0.214,-36.8,05:04.0,0.00205
2025-7-7 14:50,0.214,-36.7,05:05.0,0.00229
2025-7-7 14:51,0.214,-36.8,05:06.0,0.00206
2025-7-7 14:51,0.214,-36.8,05:07.0,0.00224
2025-7-7 14:51,0.214,-36.8,05:08.0,0.00186
2025-7-7 14:51,0.214,-36.8,05:09.0,0.00191
2025-7-7 14:51,0.214,-36.9,05:10.0,0.00162
2025-7-7 14:51,0.214,-36.8,05:11.0,0.00147
2025-7-7 14:52,0.214,-36.9,05:12.0,0.00109
2025-7-7 14:52,0.214,-36.7,05:13.0,0.0015
2025-7-7 14:52,0.214,-36.8,05:14.0,0.00204
2025-7-7 14:52,0.214,-36.7,05:15.0,0.00214
2025-7-7 14:52,0.214,-36.8,05:16.0,0.0024
2025-7-7 14:52,0.214,-36.8,05:17.0,0.00267
2025-7-7 14:53,0.214,-36.7,05:18.0,0.00305
2025-7-7 14:53,0.214,-36.8,05:19.0,0.00378
2025-7-7 14:53,0.214,-36.8,05:20.0,0.00374
2025-7-7 14:53,0.214,-36.8,05:21.0,0.00444
2025-7-7 14:53,0.214,-36.8,05:22.0,0.0045
2025-7-7 14:53,0.214,-36.8,05:23.0,0.00461
2025-7-7 14:54,0.214,-36.9,05:24.0,0.00436
2025-7-7 14:54,0.214,-36.8,05:25.0,0.00444
2025-7-7 14:54,0.214,-36.8,05:26.0,0.00413
2025-7-7 14:54,0.214,-36.8,05:27.0,0.00351
2025-7-7 14:54,0.214,-36.9,05:28.0,0.00431
2025-7-7 14:54,0.214,-36.8,05:29.0,0.00421
2025-7-7 14:55,0.214,-36.8,05:30.0,0.00408
2025-7-7 14:55,0.214,-36.8,05:31.0,0.00428
2025-7-7 14:55,0.214,-36.8,05:32.0,0.00342
2025-7-7 14:55,0.214,-36.8,05:33.0,0.00329
2025-7-7 14:55,0.214,-36.9,05:34.0,0.004
2025-7-7 14:55,0.214,-36.8,05:35.0,0.00319
2025-7-7 14:56,0.214,-36.9,05:36.0,0.00369
2025-7-7 14:56,0.214,-36.9,05:37.0,0.00319
2025-7-7 14:56,0.214,-36.8,05:38.0,0.00292
2025-7-7 14:56,0.214,-36.7,05:39.0,0.00344
2025-7-7 14:56,0.214,-36.8,05:40.0,0.00291
2025-7-7 14:56,0.214,-36.7,05:41.0,0.00283
2025-7-7 14:57,0.214,-36.9,05:42.0,0.00362
2025-7-7 14:57,0.214,-36.8,05:43.0,0.00343
2025-7-7 14:57,0.214,-36.8,05:44.0,0.00318
2025-7-7 14:57,0.214,-36.8,05:45.0,0.00376
2025-7-7 14:57,0.214,-36.8,05:46.0,0.00393
2025-7-7 14:57,0.214,-36.7,05:47.0,0.00334
2025-7-7 14:58,0.214,-36.8,05:48.0,0.00363
2025-7-7 14:58,0.214,-36.9,05:49.0,0.00377
2025-7-7 14:58,0.214,-36.9,05:50.0,0.00376
2025-7-7 14:58,0.214,-36.8,05:51.0,0.00394
2025-7-7 14:58,0.214,-36.8,05:52.0,0.00412
2025-7-7 14:58,0.214,-36.8,05:53.0,0.00426
2025-7-7 14:59,0.214,-36.8,05:54.0,0.00418
2025-7-7 14:59,0.214,-36.7,05:55.0,0.00398
2025-7-7 14:59,0.214,-36.8,05:56.0,0.00417
2025-7-7 14:59,0.214,-36.9,05:57.0,0.00389
2025-7-7 14:59,0.214,-36.7,05:58.0,0.0039
2025-7-7 14:59,0.214,-36.8,05:59.0,0.00341
2025-7-7 15:00,0.214,-36.7,06:00.0,0.00313
2025-7-7 15:00,0.214,-36.7,06:01.0,0.00388
2025-7-7 15:00,0.214,-36.7,06:02.0,0.00339
2025-7-7 15:00,0.214,-36.8,06:03.0,0.00359
2025-7-7 15:00,0.214,-36.8,06:04.0,0.00331
2025-7-7 15:00,0.214,-36.8,06:05.0,0.00341
2025-7-7 15:01,0.214,-36.7,06:06.0,0.00341
2025-7-7 15:01,0.214,-36.7,06:07.0,0.00342
2025-7-7 15:01,0.214,-36.8,06:08.0,0.00339
2025-7-7 15:01,0.214,-36.8,06:09.0,0.00402
2025-7-7 15:01,0.214,-36.8,06:10.0,0.00373
2025-7-7 15:01,0.214,-36.9,06:11.0,0.00334
2025-7-7 15:02,0.214,-36.8,06:12.0,0.00352
2025-7-7 15:02,0.214,-36.7,06:13.0,0.00333
2025-7-7 15:02,0.214,-36.7,06:14.0,0.00367
2025-7-7 15:02,0.214,-36.8,06:15.0,0.00357
2025-7-7 15:02,0.214,-36.7,06:16.0,0.00373
2025-7-7 15:02,0.214,-36.8,06:17.0,0.00412
2025-7-7 15:03,0.214,-36.8,06:18.0,0.00402
2025-7-7 15:03,0.214,-36.8,06:19.0,0.00394
2025-7-7 15:03,0.214,-36.7,06:20.0,0.00389
2025-7-7 15:03,0.214,-36.7,06:21.0,0.00401
2025-7-7 15:03,0.214,-36.8,06:22.0,0.00384
2025-7-7 15:03,0.214,-36.8,06:23.0,0.00382
2025-7-7 15:04,0.214,-36.7,06:24.0,0.00427
2025-7-7 15:04,0.214,-36.8,06:25.0,0.0035
2025-7-7 15:04,0.214,-36.8,06:26.0,0.00369
2025-7-7 15:04,0.214,-36.8,06:27.0,0.00345
2025-7-7 15:04,0.214,-36.8,06:28.0,0.00348
2025-7-7 15:04,0.214,-36.9,06:29.0,0.00324
2025-7-7 15:05,0.214,-36.7,06:30.0,0.00359
2025-7-7 15:05,0.214,-36.8,06:31.0,0.00389
2025-7-7 15:05,0.214,-36.8,06:32.0,0.00396
2025-7-7 15:05,0.214,-36.9,06:33.0,0.00377
2025-7-7 15:05,0.214,-36.6,06:34.0,0.00407
2025-7-7 15:05,0.214,-36.8,06:35.0,0.00361
2025-7-7 15:06,0.214,-36.8,06:36.0,0.00427
2025-7-7 15:06,0.214,-36.8,06:37.0,0.00386
2025-7-7 15:06,0.214,-36.7,06:38.0,0.00389
2025-7-7 15:06,0.214,-36.8,06:39.0,0.00408
2025-7-7 15:06,0.214,-36.7,06:40.0,0.00418
2025-7-7 15:06,0.214,-36.7,06:41.0,0.00386
2025-7-7 15:07,0.214,-36.8,06:42.0,0.00409
2025-7-7 15:07,0.214,-36.8,06:43.0,0.00366
2025-7-7 15:07,0.214,-36.8,06:44.0,0.00354
2025-7-7 15:07,0.214,-36.8,06:45.0,0.00388
2025-7-7 15:07,0.214,-36.8,06:46.0,0.0041
2025-7-7 15:07,0.214,-36.9,06:47.0,0.00384
2025-7-7 15:08,0.214,-36.8,06:48.0,0.00387
2025-7-7 15:08,0.214,-36.8,06:49.0,0.00362
2025-7-7 15:08,0.214,-36.7,06:50.0,0.00359
2025-7-7 15:08,0.214,-36.7,06:51.0,0.00385
2025-7-7 15:08,0.214,-36.8,06:52.0,0.00322
2025-7-7 15:08,0.214,-36.7,06:53.0,0.00396
2025-7-7 15:09,0.214,-36.7,06:54.0,0.00421
2025-7-7 15:09,0.214,-36.7,06:55.0,0.00364
2025-7-7 15:09,0.214,-36.7,06:56.0,0.00386
2025-7-7 15:09,0.214,-36.7,06:57.0,0.00361
2025-7-7 15:09,0.214,-36.9,06:58.0,0.0037
2025-7-7 15:09,0.214,-36.7,06:59.0,0.00415
2025-7-7 15:10,0.214,-36.7,07:00.0,0.00406
2025-7-7 15:10,0.214,-36.7,07:01.0,0.0041
2025-7-7 15:10,0.214,-36.7,07:02.0,0.00406
2025-7-7 15:10,0.214,-36.8,07:03.0,0.00455
2025-7-7 15:10,0.214,-36.7,07:04.0,0.00413
2025-7-7 15:10,0.214,-36.7,07:05.0,0.00394
2025-7-7 15:11,0.214,-36.7,07:06.0,0.00372
2025-7-7 15:11,0.214,-36.7,07:07.0,0.00383
2025-7-7 15:11,0.214,-36.8,07:08.0,0.00389
2025-7-7 15:11,0.214,-36.9,07:09.0,0.00377
2025-7-7 15:11,0.214,-36.7,07:10.0,0.00367
2025-7-7 15:11,0.214,-36.8,07:11.0,0.00408
2025-7-7 15:12,0.214,-36.7,07:12.0,0.00364
2025-7-7 15:12,0.214,-36.7,07:13.0,0.00345
2025-7-7 15:12,0.214,-36.7,07:14.0,0.00371
2025-7-7 15:12,0.214,-36.7,07:15.0,0.00349
2025-7-7 15:12,0.214,-36.7,07:16.0,0.00348
2025-7-7 15:12,0.214,-36.8,07:17.0,0.00381
2025-7-7 15:13,0.214,-36.7,07:18.0,0.00356
2025-7-7 15:13,0.214,-36.8,07:19.0,0.00354
2025-7-7 15:13,0.214,-36.7,07:20.0,0.00371
2025-7-7 15:13,0.214,-36.8,07:21.0,0.00368
2025-7-7 15:13,0.214,-36.9,07:22.0,0.00343
2025-7-7 15:13,0.214,-36.8,07:23.0,0.00362
2025-7-7 15:14,0.214,-36.8,07:24.0,0.00387
2025-7-7 15:14,0.214,-36.8,07:25.0,0.00375
2025-7-7 15:14,0.214,-36.8,07:26.0,0.00351
2025-7-7 15:14,0.214,-36.7,07:27.0,0.00306
2025-7-7 15:14,0.214,-36.7,07:28.0,0.00284
