MS,-0.25,VWC,-0.25,PWP,-0.25
250719 09:28:00,36.2,2025-7-19 9:28,0.289,9:02,0.01555
250719 09:28:00,36.1,2025-7-19 9:28,0.288,9:02,0.0159
250719 09:29:00,36.1,2025-7-19 9:29,0.288,9:02,0.01582
250719 09:29:00,36.2,2025-7-19 9:29,0.287,9:02,0.01594
250719 09:29:00,36.2,2025-7-19 9:29,0.289,9:02,0.01584
250719 09:29:00,36.1,2025-7-19 9:29,0.288,9:02,0.01607
250719 09:29:00,36,2025-7-19 9:29,0.289,9:02,0.01649
250719 09:29:00,36,2025-7-19 9:29,0.288,9:02,0.01651
250719 09:30:00,36.1,2025-7-19 9:30,0.288,9:03,0.01599
250719 09:30:00,35.9,2025-7-19 9:30,0.289,9:03,0.01638
250719 09:30:00,36.1,2025-7-19 9:30,0.288,9:03,0.01651
250719 09:30:00,36.1,2025-7-19 9:30,0.289,9:03,0.01694
250719 09:30:00,36.1,2025-7-19 9:30,0.288,9:03,0.01648
250719 09:30:00,36.2,2025-7-19 9:30,0.288,9:03,0.01679
250719 09:31:00,36.1,2025-7-19 9:31,0.288,9:03,0.01698
250719 09:31:00,36.1,2025-7-19 9:31,0.289,9:03,0.01656
250719 09:31:00,36.2,2025-7-19 9:31,0.288,9:03,0.01659
250719 09:31:00,36.1,2025-7-19 9:31,0.287,9:03,0.01661
250719 09:31:00,36.1,2025-7-19 9:31,0.288,9:03,0.01684
250719 09:31:00,36.1,2025-7-19 9:31,0.288,9:03,0.01694
250719 09:32:00,36.1,2025-7-19 9:32,0.288,9:03,0.01663
250719 09:32:00,36.2,2025-7-19 9:32,0.287,9:03,0.01681
250719 09:32:00,36.2,2025-7-19 9:32,0.288,9:03,0.01698
250719 09:32:00,36.2,2025-7-19 9:32,0.287,9:03,0.01701
250719 09:32:00,36.2,2025-7-19 9:32,0.288,9:03,0.01715
250719 09:32:00,36,2025-7-19 9:32,0.287,9:03,0.01759
250719 09:33:00,36,2025-7-19 9:33,0.288,9:03,0.01731
250719 09:33:00,36.2,2025-7-19 9:33,0.287,9:03,0.01771
250719 09:33:00,36.1,2025-7-19 9:33,0.288,9:03,0.01767
250719 09:33:00,36.1,2025-7-19 9:33,0.287,9:03,0.01738
250719 09:33:00,36.1,2025-7-19 9:33,0.287,9:03,0.01692
250719 09:33:00,36.1,2025-7-19 9:33,0.287,9:03,0.01736
250719 09:34:00,36,2025-7-19 9:34,0.287,9:03,0.01784
250719 09:34:00,36.2,2025-7-19 9:34,0.287,9:03,0.0177
250719 09:34:00,36,2025-7-19 9:34,0.288,9:03,0.01768
250719 09:34:00,36.2,2025-7-19 9:34,0.287,9:03,0.01765
250719 09:34:00,36.1,2025-7-19 9:34,0.287,9:03,0.01771
250719 09:34:00,36.1,2025-7-19 9:34,0.288,9:03,0.01743
250719 09:35:00,36.1,2025-7-19 9:35,0.287,9:03,0.01737
250719 09:35:00,36,2025-7-19 9:35,0.287,9:03,0.01769
250719 09:35:00,36,2025-7-19 9:35,0.288,9:03,0.01775
250719 09:35:00,36.2,2025-7-19 9:35,0.288,9:03,0.01781
250719 09:35:00,36.1,2025-7-19 9:35,0.289,9:03,0.01737
250719 09:35:00,36.1,2025-7-19 9:35,0.287,9:03,0.01753
250719 09:36:00,36.1,2025-7-19 9:36,0.287,9:03,0.01732
250719 09:36:00,36.1,2025-7-19 9:36,0.287,9:03,0.0175
250719 09:36:00,36,2025-7-19 9:36,0.288,9:03,0.01717
250719 09:36:00,36.2,2025-7-19 9:36,0.288,9:03,0.01766
250719 09:36:00,36.1,2025-7-19 9:36,0.289,9:03,0.01779
250719 09:36:00,36.1,2025-7-19 9:36,0.287,9:03,0.01696
250719 09:37:00,36.1,2025-7-19 9:37,0.288,9:03,0.01721
250719 09:37:00,36.1,2025-7-19 9:37,0.288,9:03,0.01734
250719 09:37:00,36.1,2025-7-19 9:37,0.289,9:03,0.01757
250719 09:37:00,36.1,2025-7-19 9:37,0.288,9:03,0.0174
250719 09:37:00,36.1,2025-7-19 9:37,0.287,9:03,0.01743
250719 09:37:00,36.1,2025-7-19 9:37,0.287,9:03,0.01747
250719 09:38:00,36.1,2025-7-19 9:38,0.287,9:03,0.01749
250719 09:38:00,36.1,2025-7-19 9:38,0.287,9:03,0.0175
250719 09:38:00,36.1,2025-7-19 9:38,0.287,9:03,0.01767
250719 09:38:00,36.2,2025-7-19 9:38,0.287,9:03,0.01815
250719 09:38:00,36,2025-7-19 9:38,0.288,9:03,0.01801
250719 09:38:00,36.1,2025-7-19 9:38,0.287,9:03,0.01808
250719 09:39:00,36.1,2025-7-19 9:39,0.287,9:03,0.0183
250719 09:39:00,36.1,2025-7-19 9:39,0.287,9:03,0.01807
250719 09:39:00,36.2,2025-7-19 9:39,0.288,9:03,0.01853
250719 09:39:00,36.1,2025-7-19 9:39,0.288,9:03,0.01824
250719 09:39:00,36.1,2025-7-19 9:39,0.287,9:03,0.01829
250719 09:39:00,36.1,2025-7-19 9:39,0.287,9:03,0.01803
250719 09:40:00,36.2,2025-7-19 9:40,0.288,9:04,0.01818
250719 09:40:00,36.1,2025-7-19 9:40,0.288,9:04,0.01828
250719 09:40:00,36.1,2025-7-19 9:40,0.288,9:04,0.01838
250719 09:40:00,36.2,2025-7-19 9:40,0.287,9:04,0.01858
250719 09:40:00,36.2,2025-7-19 9:40,0.288,9:04,0.01848
250719 09:40:00,36.1,2025-7-19 9:40,0.288,9:04,0.01873
250719 09:41:00,36.2,2025-7-19 9:41,0.287,9:04,0.01815
250719 09:41:00,36.1,2025-7-19 9:41,0.287,9:04,0.01812
250719 09:41:00,36.1,2025-7-19 9:41,0.287,9:04,0.01804
250719 09:41:00,36.2,2025-7-19 9:41,0.287,9:04,0.01783
250719 09:41:00,36.1,2025-7-19 9:41,0.287,9:04,0.01824
250719 09:41:00,36.2,2025-7-19 9:41,0.287,9:04,0.01845
250719 09:42:00,36.1,2025-7-19 9:42,0.287,9:04,0.01826
250719 09:42:00,36.2,2025-7-19 9:42,0.287,9:04,0.0181
250719 09:42:00,36,2025-7-19 9:42,0.287,9:04,0.01854
250719 09:42:00,36.1,2025-7-19 9:42,0.287,9:04,0.01854
250719 09:42:00,36.2,2025-7-19 9:42,0.286,9:04,0.01836
250719 09:42:00,36.1,2025-7-19 9:42,0.287,9:04,0.01853
250719 09:43:00,36.2,2025-7-19 9:43,0.287,9:04,0.01861
250719 09:43:00,36.1,2025-7-19 9:43,0.287,9:04,0.01866
250719 09:43:00,36.1,2025-7-19 9:43,0.287,9:04,0.01873
250719 09:43:00,36.1,2025-7-19 9:43,0.287,9:04,0.01872
250719 09:43:00,36,2025-7-19 9:43,0.287,9:04,0.01854
250719 09:43:00,36.1,2025-7-19 9:43,0.287,9:04,0.01861
250719 09:44:00,36.2,2025-7-19 9:44,0.287,9:04,0.01843
250719 09:44:00,36.1,2025-7-19 9:44,0.287,9:04,0.01886
250719 09:44:00,36,2025-7-19 9:44,0.287,9:04,0.01911
250719 09:44:00,36.2,2025-7-19 9:44,0.287,9:04,0.01881
250719 09:44:00,36.1,2025-7-19 9:44,0.287,9:04,0.01864
250719 09:44:00,36.1,2025-7-19 9:44,0.287,9:04,0.01873
250719 09:45:00,36.1,2025-7-19 9:45,0.287,9:04,0.01868
250719 09:45:00,36.2,2025-7-19 9:45,0.287,9:04,0.01838
250719 09:45:00,36.2,2025-7-19 9:45,0.287,9:04,0.01863
250719 09:45:00,36.1,2025-7-19 9:45,0.287,9:04,0.01867
250719 09:45:00,36.1,2025-7-19 9:45,0.287,9:04,0.01906
250719 09:45:00,36.1,2025-7-19 9:45,0.287,9:04,0.01894
250719 09:46:00,36.1,2025-7-19 9:46,0.287,9:04,0.01873
250719 09:46:00,36.2,2025-7-19 9:46,0.287,9:04,0.01878
250719 09:46:00,36.1,2025-7-19 9:46,0.287,9:04,0.01898
250719 09:46:00,36,2025-7-19 9:46,0.287,9:04,0.01945
250719 09:46:00,36.2,2025-7-19 9:46,0.287,9:04,0.01911
250719 09:46:00,36.1,2025-7-19 9:46,0.287,9:04,0.01912
250719 09:47:00,36.1,2025-7-19 9:47,0.287,9:04,0.01896
250719 09:47:00,36.2,2025-7-19 9:47,0.287,9:04,0.019
250719 09:47:00,36.1,2025-7-19 9:47,0.287,9:04,0.01885
250719 09:47:00,36.2,2025-7-19 9:47,0.287,9:04,0.0195
250719 09:47:00,36.1,2025-7-19 9:47,0.287,9:04,0.01962
250719 09:47:00,36.1,2025-7-19 9:47,0.287,9:04,0.01968
250719 09:48:00,36.2,2025-7-19 9:48,0.288,9:04,0.01942
250719 09:48:00,36,2025-7-19 9:48,0.287,9:04,0.01989
250719 09:48:00,36.2,2025-7-19 9:48,0.287,9:04,0.01993
250719 09:48:00,36.1,2025-7-19 9:48,0.287,9:04,0.01941
250719 09:48:00,36.1,2025-7-19 9:48,0.287,9:04,0.01973
250719 09:48:00,36,2025-7-19 9:48,0.287,9:04,0.01958
250719 09:49:00,36.2,2025-7-19 9:49,0.287,9:04,0.01934
250719 09:49:00,36.1,2025-7-19 9:49,0.287,9:04,0.0195
250719 09:49:00,36.2,2025-7-19 9:49,0.287,9:04,0.01964
250719 09:49:00,36,2025-7-19 9:49,0.287,9:04,0.0201
250719 09:49:00,36.1,2025-7-19 9:49,0.287,9:04,0.01997
250719 09:49:00,36.1,2025-7-19 9:49,0.287,9:04,0.02006
250719 09:50:00,36,2025-7-19 9:50,0.287,9:05,0.01988
250719 09:50:00,36.1,2025-7-19 9:50,0.287,9:05,0.01962
250719 09:50:00,36,2025-7-19 9:50,0.287,9:05,0.01994
250719 09:50:00,36.1,2025-7-19 9:50,0.287,9:05,0.01975
250719 09:50:00,36,2025-7-19 9:50,0.287,9:05,0.01979
250719 09:50:00,36.1,2025-7-19 9:50,0.287,9:05,0.01986
250719 09:51:00,36.1,2025-7-19 9:51,0.287,9:05,0.01987
250719 09:51:00,36.1,2025-7-19 9:51,0.288,9:05,0.0197
250719 09:51:00,36.1,2025-7-19 9:51,0.287,9:05,0.01973
250719 09:51:00,36.1,2025-7-19 9:51,0.287,9:05,0.01998
250719 09:51:00,36.2,2025-7-19 9:51,0.288,9:05,0.02014
250719 09:51:00,36.2,2025-7-19 9:51,0.287,9:05,0.01994
250719 09:52:00,36.2,2025-7-19 9:52,0.287,9:05,0.02003
250719 09:52:00,36.1,2025-7-19 9:52,0.287,9:05,0.02011
250719 09:52:00,36.1,2025-7-19 9:52,0.287,9:05,0.02022
250719 09:52:00,36.1,2025-7-19 9:52,0.286,9:05,0.01985
250719 09:52:00,36.2,2025-7-19 9:52,0.286,9:05,0.01983
250719 09:52:00,36.2,2025-7-19 9:52,0.286,9:05,0.02002
250719 09:53:00,36.2,2025-7-19 9:53,0.287,9:05,0.01989
250719 09:53:00,36.1,2025-7-19 9:53,0.285,9:05,0.02014
250719 09:53:00,36,2025-7-19 9:53,0.287,9:05,0.01977
250719 09:53:00,36.1,2025-7-19 9:53,0.287,9:05,0.02007
250719 09:53:00,36.1,2025-7-19 9:53,0.286,9:05,0.01992
250719 09:53:00,36.1,2025-7-19 9:53,0.286,9:05,0.0201
250719 09:54:00,36.1,2025-7-19 9:54,0.287,9:05,0.01982
250719 09:54:00,36.1,2025-7-19 9:54,0.285,9:05,0.02009
250719 09:54:00,36.1,2025-7-19 9:54,0.286,9:05,0.02026
250719 09:54:00,36.2,2025-7-19 9:54,0.286,9:05,0.01977
250719 09:54:00,36,2025-7-19 9:54,0.287,9:05,0.01992
250719 09:54:00,36.1,2025-7-19 9:54,0.286,9:05,0.01978
250719 09:55:00,36.2,2025-7-19 9:55,0.286,9:05,0.02023
250719 09:55:00,36.2,2025-7-19 9:55,0.287,9:05,0.02024
250719 09:55:00,36.2,2025-7-19 9:55,0.286,9:05,0.02019
250719 09:55:00,36.2,2025-7-19 9:55,0.286,9:05,0.02031
250719 09:55:00,36.1,2025-7-19 9:55,0.287,9:05,0.02
250719 09:55:00,36.2,2025-7-19 9:55,0.287,9:05,0.01996
250719 09:56:00,36.2,2025-7-19 9:56,0.286,9:05,0.02004
250719 09:56:00,36.1,2025-7-19 9:56,0.286,9:05,0.02022
250719 09:56:00,36.1,2025-7-19 9:56,0.286,9:05,0.02013
250719 09:56:00,36.2,2025-7-19 9:56,0.287,9:05,0.02054
250719 09:56:00,36.1,2025-7-19 9:56,0.287,9:05,0.02041
250719 09:56:00,36.1,2025-7-19 9:56,0.286,9:05,0.02065
250719 09:57:00,36.2,2025-7-19 9:57,0.286,9:05,0.02047
250719 09:57:00,36.2,2025-7-19 9:57,0.287,9:05,0.02062
250719 09:57:00,36.1,2025-7-19 9:57,0.287,9:05,0.02071
250719 09:57:00,36,2025-7-19 9:57,0.286,9:05,0.02099
250719 09:57:00,36.1,2025-7-19 9:57,0.286,9:05,0.02084
250719 09:57:00,36.2,2025-7-19 9:57,0.287,9:05,0.02032
250719 09:58:00,36.1,2025-7-19 9:58,0.287,9:05,0.02038
250719 09:58:00,36.1,2025-7-19 9:58,0.287,9:05,0.02067
250719 09:58:00,36.1,2025-7-19 9:58,0.287,9:05,0.02086
250719 09:58:00,36.1,2025-7-19 9:58,0.286,9:05,0.02048
250719 09:58:00,36.1,2025-7-19 9:58,0.287,9:05,0.02023
250719 09:58:00,36.1,2025-7-19 9:58,0.287,9:05,0.02012
250719 09:59:00,36,2025-7-19 9:59,0.287,9:05,0.02054
250719 09:59:00,36.2,2025-7-19 9:59,0.287,9:05,0.02043
250719 09:59:00,36.1,2025-7-19 9:59,0.287,9:05,0.02015
250719 09:59:00,36.1,2025-7-19 9:59,0.287,9:05,0.0208
250719 09:59:00,36.2,2025-7-19 9:59,0.287,9:05,0.0207
250719 09:59:00,36.1,2025-7-19 9:59,0.287,9:05,0.0206
250719 10:00:00,36.1,2025-7-19 10:00,0.287,9:06,0.02103
250719 10:00:00,36.3,2025-7-19 10:00,0.287,9:06,0.02056
250719 10:00:00,36.1,2025-7-19 10:00,0.287,9:06,0.02051
250719 10:00:00,36.1,2025-7-19 10:00,0.287,9:06,0.02049
250719 10:00:00,36.1,2025-7-19 10:00,0.287,9:06,0.0205
250719 10:00:00,36.2,2025-7-19 10:00,0.287,9:06,0.02045
250719 10:01:00,36.1,2025-7-19 10:01,0.287,9:06,0.02085
250719 10:01:00,36.1,2025-7-19 10:01,0.287,9:06,0.02064
250719 10:01:00,36.1,2025-7-19 10:01,0.287,9:06,0.02053
250719 10:01:00,36,2025-7-19 10:01,0.287,9:06,0.02052
250719 10:01:00,36.1,2025-7-19 10:01,0.287,9:06,0.02079
250719 10:01:00,36.1,2025-7-19 10:01,0.287,9:06,0.02066
250719 10:02:00,36.1,2025-7-19 10:02,0.287,9:06,0.02078
250719 10:02:00,36.2,2025-7-19 10:02,0.287,9:06,0.02109
250719 10:02:00,36.2,2025-7-19 10:02,0.287,9:06,0.02092
250719 10:02:00,36.2,2025-7-19 10:02,0.287,9:06,0.02056
250719 10:02:00,36.2,2025-7-19 10:02,0.287,9:06,0.02104
250719 10:02:00,36.1,2025-7-19 10:02,0.287,9:06,0.02089
250719 10:03:00,36.1,2025-7-19 10:03,0.287,9:06,0.02105
